Tenant Name,Test Case Id,Scripts,Execution Time,Result,Errors/Message,Individual Results,Group,Module,Category
tjx,ITSA_FUNCTIONAL_1,[POST] d_change_task_urgency_mysql.sql,0.14 sec,SUCCESS,[Error] [Post Script] Unknown column 'SRC.urgency_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_2,[POST] f_change_task_application_key_mysql.sql,0.45 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_3,[POST] d_change_task_upon_reject_src_key_mysql.sql,0.46 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_4,[POST] d_change_task_reported_type_src_code_mysql.sql,0.3 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_5,[POST] d_change_task_priority_mysql.sql,0.06 sec,SUCCESS,[Error] [Post Script] Unknown column 'SRC.prioty_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_6,[POST] d_change_task_domain_key_mysql.sql,0.37 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_7,[POST] f_change_task_change_request_key_mysql.sql,0.43 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_8,[POST] f_change_task_age_mysql.sql,0.23 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_9,[POST] d_change_task_sys_id_mysql.sql,0.04 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.row_id' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_10,[POST] d_change_task_upon_approval_mysql.sql,0.05 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.upon_approval_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_11,[POST] f_change_task_time_worked_mysql.sql,0.21 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_12,[POST] d_change_task_state_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.state_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_13,[POST] d_change_task_upon_approval_src_code_mysql.sql,0.23 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_14,[POST] f_change_task_dormancy_age_mysql.sql,0.21 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_15,[POST] f_change_task_approval_duration_mysql.sql,0.15 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_16,[POST] f_change_task_parent_age_at_task_open_mysql.sql,0.14 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_17,[POST] f_change_task_sys_created_by_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.created_by' in 'where clause',,FUNCTIONAL,ITSA,DWH
tjx,ITSA_FUNCTIONAL_18,[POST] d_change_task_opened_on_mysql.sql,0.23 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_19,[POST] d_change_task_updated_by_mysql.sql,0.18 sec,SUCCESS,[Message] SUCCESS,,,,
tjx,ITSA_FUNCTIONAL_20,[POST] d_change_task_approval_mysql.sql,0.03 sec,FAILURE,[Error] [Post Script] Unknown column 'SRC.approval_src_code' in 'where clause',,FUNCTIONAL,ITSA,DWH
