floor_area_c,count
1,12265
1st Floor,7241
6th floor,723
Level P,159
3rd,309
6NW Peds,43
6th,1676
2nd,1915
5NW,278
3rd Floor,493
7 East,179
Level 6,374
B Level,2348
BL,95
1st flr ,15
6 Tower,18
1 Pav,8
5N,6
4 West,68
6ICU,28
suite 100,25
2nd flr,32
5 West ICU,43
904 Westwood G Level,27
2 SW,17
4 nw,11
6 N,18
3 SW,68
7N,85
 B1,86
9th Flr,40
e,6
2nd OR,1
12th Floor,23
5 LD,9
3SW,12
7E,91
2 PAV,29
5th floor,257
3 PEDS,2
5F,7
5 E,4
Level 6E,136
7 East ICU,24
1 West,56
suite 630 west,14
AL Level,2
Level 1 - ED,46
4th North,6
B8,6
16TH,17
4N and ECT,3
2SWW L&D,11
Pediatrics,1
4ICU,60
Level 4W,65
"4 East, Unit A",1
Level 2 - Main OR,5
3rd PACU,1
4W ICU,58
5  L&D,6
9th Floor,49
6W,65
8 west,64
12th,66
CHS,47
3 Pav,35
Level A,32
North Wing 2nd Floor,12
2MN Post Partum,3
5NW Geriatrics,15
6E ICU,11
7 CCU,37
7 W ICU,6
Level 8 ICU,8
IVAS,1
Main OR,9
1200,27
5mn,8
16TH floor,4
Level 1  -  Main ER,6
5EOB,14
Level N6,5
4th SW,18
1ST PAV,6
2 CW,14
9TH,21
4 MICU,1
1223 16TH ST #2100,1
Despatch ,1
B607,1
5W ICU,19
5 Tower,9
Data Center,1
8th N,8
4sw,7
6nw,18
6 E,7
Level 3S,8
B 417,1
4CWICU,4
4 CW,1
Leve 6N,4
8236,1
8 icu,4
Base ment,3
2100,1
7215H,1
6th Floor East,4
chs,7
A8,4
Basement Level A,1
LL - ER,2
4E MICU,1
5 WEST,3
B LEvel,3
5NM,11
6S Tower,8
"2nd, Central Wing",2
7th FL,1
OR 2,1
8 fl,1
5E PICU,2
"Suite 212, Los Angeles, CA ",1
B200,1
6n,7
Level 5EMS Core,1
8 ICU West,1
6th Floor O.R.,4
2 - Recovery Room,1
1st floor of SAB building,1
"3rd, Pavillion",1
Cath Lab 2,3
AL,1
3F Peds,1
Wasserman 3rd Floor,1
5 icu,1
L&D 5N,1
5th Floor East,1
6th West,1
8 icu West,1
ICU ,1
4T,2
4E ICU Nurse's station,1
Level R ,1
1 Conference room,3
Pre-Op,1
(805)496-5153,1
214,1
4334,1
2 PAC NICU,1
5th NICU,1
300,1
Suite 200,2
2 Newborn Nursery,1
B300,1
B2  Level,1
Level 8ICUW,1
EIMG Toluca Lake,1
th,1
TRU 2nd fl,1
8 east,1
NICU Blood Gas,1
4,2210
4NW,231
1 ER,13
3E,17
3rd Flr,252
7 West,170
B level,531
5th Floor,622
5MN,301
4NA,2
1 SWW MNP,24
2 NICU,21
4th Flr,94
A-Level,247
4E ICU,55
16th Floor,298
5W-Peds,6
 4,31
7   ICU Eastside,5
3th Floor,5
A3,59
P,111
3rd fl,32
Level 1PAV,104
9th ,175
4th ICU,10
2ND Floor,3
Nurse station,2
3 CW,72
2nd fl,12
1stFloor,6
 3,26
C Level,34
4 East ICU,38
3MN,25
B-1,5
3 rd floor,12
4CW ICU,39
Level 4E,52
b,81
420,28
ED,45
1ST FLOOR,11
3 West,9
4w,1
2 - 2434,28
7w,16
Ste 580,1
B Floor,16
7 east,5
B LEVEL,8
A Flr,10
7N CCU,26
5th fl,1
17th Flr,22
12flr,15
9th floor,31
A2-236,5
Level 5 NICU,1
cT Control room,3
PTU,2
L4,16
4SW Floor,14
7th FLr,31
mp 2 suite 365 B,11
3 Orthopedic Wing,16
MNP ,6
4th Floor - 4ICU,13
PACU,7
6 Towers,1
1 st,3
Level 7 W,21
12TH,16
Clark Urology Clinic,1
6730,4
Merle Norman Pavilion,3
ER 1st,1
5 MNP,4
3-TOWER,4
5 North DR,1
5TH L&D,1
RRED,1
7 E ICU,7
8 N,9
Level 5E OB,3
14th Flr,5
Level 2MN,1
3 MPU,7
3 Floor,6
Level A-PA,9
Ground flr,8
Meds Peds Clinic ,3
7East,3
4 th,5
1 Level,7
7W ICU,6
Level 1 E,6
3rd flr,5
5N NICU,3
B floor,3
Level 1 ER Registration,1
Ste 420,1
2nd West MPU,1
3rd Ped,1
3 T,2
Level 7N CCU,1
Level N,1
Level N5,3
Transport Basement ,2
4th RM,1
Level 6ICU Westside,1
2nd Flr OR,1
5 east ob,1
2nd icu,4
4th North B,1
5th flr,4
A2 Level,1
Level 8 ICU West,1
3rd Office,1
RR 4ICU,2
ED Triage,1
Bank of America,1
1st Level,1
2 floor,2
2 Main OR,1
8 tower,2
4MN Pavillion,1
3 f,1
1 Gonda,1
1609,1
second,1
8ICU hallway,1
ALL,1
Radiology Reading,1
Street Level,2
7NW CCU,2
Level 8E Core,1
1st Fl W,1
165-18,1
B155-8,1
2SW NICU,1
8 ICU East side,1
Radiant,1
B265,1
L5,1
2nd Floor,1403
7 North ,41
17,729
Basement,1574
32-235,21
A level,311
7th Flr,135
Level 8E,212
17th Floor,311
5 East ICU,46
6 ICU,37
L2,66
2 PTU,21
11,118
Level 8,200
16th flr,55
2336 Santa Monica Blvd.,25
6th flr,5
6 NW,10
3N Tower,3
A6-238,30
600,89
Mezzanine,30
3 NT,6
6N,67
8 ICU,105
Level 8N,314
5 NOrth,6
Geriatrics,1
18Th,42
8ICU,57
lobby,7
B1 level,1
5E,32
5MNP,20
8 East,74
data center,1
5ICU,3
 2 SOU,11
4 TWR,10
Recovery,8
1P,10
430,39
B- Level,58
8ICU West side,1
L level,4
b level,15
7W,86
1st Flr - ground level,1
Level RR 7ICU,6
1 Merle Norman Pavillion,3
5 EMS,35
"Ortho Wing, 1st Floor",53
2SW,47
Gastroenterology,1
2MN,33
8 ICU East,1
SW NICU,9
2CW,33
16th Fl,4
Level 3/4W,3
5 NW,16
Radiology 1,6
16th floor,14
A Level PA,1
2 Tower,19
6 Flr,9
Level 2nd,13
Doheny,1
suite 490,2
2 Post Partum,7
5W Pediatrics,2
5 East Med Surg,1
6w,9
3nd floor,4
Lobby ,7
5 DR,2
Suite 301,1
Suite 265,2
8 icu East,1
3 floor Peds,1
AR,13
1 Floor,8
5 ICU East side,1
GOU,7
2001 SM ,4
5E Peds ICU,1
2001 SM Blvd,1
2 PACU,3
6 West ICU,5
AN - ED,3
4th  floor North,9
B403,7
6 ICU West side,1
2nd Frl,2
8 East ICU,6
7 W,1
2nd nw,2
4EICU,2
ER Admissions ,5
5 - ICU,3
2MN NICU,1
a,2
3rd Floor Central Wing,3
Level 5W PICU,1
2OBG,1
Level 1 Gonda,1
7 Wast,1
1-TOWER,2
4 Pavillion,1
Ground level,1
560,1
3E Peds,6
p5,1
4th MN,2
MN,1
7TH fLR,3
4W ICU East,1
"2nd, Unit 2311fF",1
1st Pav.,3
Level 6ICU,1
B165,1
5TH floor,1
7 (ADT Team),1
23-167,1
6 W,1
Parking,3
Bsmnt Towe,1
