acctname,N,N,accountname,Y,,us_netsuite_account_classification_delta,2,account_delta,netsuite,NATURAL_ACCOUNT,acctnumber,internalid
accttype,N,N,dimension_code,Y,accttype is not null,us_accounttype_map_delta,2,account_delta,netsuite,ACCOUNTTYPE,accttype,accttype
code,N,N,dimension_code,Y,,us_currency_map_delta,2,fx_currency_delta,servicenow,CURRENCY,name,sys_id
country,N,N,dimension_code,Y,country is not null,us_country_map_delta,2,cmn_location_delta,servicenow,COUNTRY~GEO,country,country
country,N,N,dimension_code,Y,country is not null,us_country_map_delta,2,contact_addressbooklist_addressbook_delta,netsuite,COUNTRY~GEO,country,country
country,N,N,dimension_code,Y,country is not null,us_country_map_delta,2,customer_addressbooklist_addressbook_delta,netsuite,COUNTRY~GEO,country,country
country,N,N,dimension_code,Y,country is not null,us_country_map_delta,2,employee_addressbooklist_addressbook_delta,netsuite,COUNTRY~GEO,country,country
country,N,N,dimension_code,Y,country is not null,us_country_map_delta,2,location_delta,netsuite,COUNTRY~GEO,country,country
country,N,N,dimension_code,Y,country is not null,us_country_map_delta,2,subsidiary_delta,netsuite,COUNTRY~GEO,country,country
country,N,N,dimension_code,Y,country is not null,us_country_map_delta,2,vendor_addressbooklist_addressbook_delta,netsuite,COUNTRY~GEO,country,country
country,state,N,N,dimension_code,Y,state is not null,us_state_map_delta,2,cmn_location_delta,servicenow,STATE~GEO,state,country,state
country,state,N,N,dimension_code,Y,state is not null,us_state_map_delta,2,contact_addressbooklist_addressbook_delta,netsuite,STATE~GEO,state,country,state
country,state,N,N,dimension_code,Y,state is not null,us_state_map_delta,2,customer_addressbooklist_addressbook_delta,netsuite,STATE~GEO,state,country,state
country,state,N,N,dimension_code,Y,state is not null,us_state_map_delta,2,employee_addressbooklist_addressbook_delta,netsuite,STATE~GEO,state,country,state
country,state,N,N,dimension_code,Y,state is not null,us_state_map_delta,2,location_delta,netsuite,STATE~GEO,state,country,state
country,state,N,N,dimension_code,Y,state is not null,us_state_map_delta,2,subsidiary_delta,netsuite,STATE~GEO,state,country,state
country,state,N,N,dimension_code,Y,state is not null,us_state_map_delta,2,vendor_addressbooklist_addressbook_delta,netsuite,STATE~GEO,state,country,state
country,state,city,N,N,dimension_code,Y,city is not null,us_city_map_delta,2,cmn_location_delta,servicenow,CITY~GEO,city,country,state,city
country,state,city,N,N,dimension_code,Y,city is not null,us_city_map_delta,2,customer_addressbooklist_addressbook_delta,netsuite,CITY~GEO,city,country,state,city
country,state,city,N,N,dimension_code,Y,city is not null,us_city_map_delta,2,employee_addressbooklist_addressbook_delta,netsuite,CITY~GEO,city,country,state,city
country,state,city,N,N,dimension_code,Y,city is not null,us_city_map_delta,2,location_delta,netsuite,CITY~GEO,city,country,state,city
country,state,city,N,N,dimension_code,Y,city is not null,us_city_map_delta,2,subsidiary_delta,netsuite,CITY~GEO,city,country,state,city
country,state,city,N,N,dimension_code,Y,city is not null,us_city_map_delta,2,vendor_addressbooklist_addressbook_delta,netsuite,CITY~GEO,city,country,state,city
gender,N,N,dimension_code,Y,gender is not null,us_gender_map_delta,2,employee_delta,netsuite,GENDER,gender,gender
