name,Sys_class_name,Class1,Class2,Class3,LOV_Hardwware_Status,HARDWARE_STATUS_FLAG,CNT
" ",cmdb_ci_desktop_pc,pending_decommission,NULL,NULL,"Pending Decommission",Y,1
1421a7fb185b45f5b49b40a2b3e3c8b1,cmdb_ci_linux_server,decommissioned,NULL,NULL,Decommissioned,Y,1
1kpsbs2-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
1yrp8s2-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
253f94f65f644da6a68afb59d21974da,cmdb_ci_linux_server,decommissioned,NULL,NULL,Decommissioned,Y,1
2pr44q2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
2szftt2-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
2ua2460kxn-w7,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua4502j2n-w7,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua703172c-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua72339hp-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8311qkq-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8311qlt-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8311qly-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8451ygz-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8451yh1-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8451yh2-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8451yh3-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8451yh4-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8451yh5-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8491xjg-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8491xjk-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8491xjm-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8491xjn-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8491xjq-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua8491xjr-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
2ua9042bzf-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
32x4st2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
34nwnf2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
3aaeb9c6a1b74b91af55a0e6660f01f2,cmdb_ci_linux_server,decommissioned,NULL,NULL,Decommissioned,Y,1
3d5rnf2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
3gftst2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
46qvtt2-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
47pmst2-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
4ce84514fx-w10,cmdb_ci_desktop_pc,installed,NULL,NULL,Installed,Y,1
