"ID|""Title""|""Owning_Organization""|""Business_Process_Owner""|""Modified""|""Modified_By""|""Function""|""Site""|""Vendor_contact""|""Data_subject_type""|""Business_Process""|""SCOPE_Number""|""Life_Cycle_Status""|""Retired_Date""|""Description""|""Repository_Type""|""Subtype""|""Vendor_involved""|""SAP_Vendor_Number""|""SAP_Vendor_Name""|""Vendor_qualification""|""Country_collected""|""num_of_Data_Stakeholders_from_US""|""Adverse_Event_Information""|""Biometric_Data""|""Consumer_account_username_and_password""|""Credit_Card_Numbers""|""Criminal_or_judicial_records""|""Data_about_children_under_13""|""Data_about_teens_13_15_years_old""|""Data_about_teens_16_18_years_old""|""Digital_signature_data""|""Electronic_identification_data""|""Family_composition""|""Financial_account_number""|""Genetic_data""|""Government_ID""|""Identification_data""|""Image_sound_recordings""|""Other_health_or_medical_data""|""Personal_characteristics""|""Political_opinions""|""Precise_geolocation_data""|""Profession""|""PHI_as_defined_by_HIPAA""|""Racial_or_ethnic_origin""|""Religious_or_philosophical_beliefs""|""Sex_life""|""Trade_union_membership""|""Data_From_Children""|""ADM""|""RoPA_linked_to_IT_Asset""|""Unregistered_application_info""|""Inventory_Status""|""Inventory_Criteria""|""Inventory_Evidence""|""Lawfulness_Basis_Status""|""Lawfulness_Basis_Criteria""|""Lawfulness_Basis_Evidence""|""Notice_Status""|""Notice_Criteria""|""Notice_Evidence""|""Minimization_Status""|""Minimization_Criteria""|""Minimization_Evidence""|""Data_retention_Status""|""Data_Retention_Criteria""|""Data_Retention_Evidence""|""Reasonable_InfoSec_Status""|""Reasonable_InfoSec_Criteria""|""Reasonable_InfoSec_Evidence""|""Data_Subject_Rights_Status""|""Data_Subject_Rights_Criteria""|""Data_Subject_Rights_Evidence""|""Vendors_Status""|""Vendors_Criteria""|""Vendors_Evidence""|""custom_field_1""|""custom_field_2""|""custom_field_3""|""custom_field_4""|""custom_field_5""|""custom_field_6""|""custom_field_7""|""custom_field_8""|""custom_field_9""|""custom_field_10""|""Last_review_date""|""Last_reviewed_reviewer""|""XLS_Template_ID""|""Remediation_GUV_Number""|""California_relevancy""|""Item_Type""|""Path""|""Created""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1|""This is the first test Processing activity.""|""Z - Test and Training""|""Gatti"," Alessio""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""ALBANY PLANT;#52;#ALBANY RETAIL;#53;#ALBANY WAREHOUSE;#54;#*INTENTIONALLY LEFT BLANK;#269""|""radakovich.t@pg.com""|""Employee""|""Medical""|""E005""|""Leverage/Optimize""|""""|""TLC - This is a test"," used to optimize application. In this example I'm referring to a list on Excel to compile attendance to a fictitious training. 	Lorem ipsum dolor sit amet", consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident," sunt in culpa qui officia deserunt mollit anim id est laborum.	Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium", totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur," vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?	At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident", similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus," ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat.""|""Digital""|""Data files (xls", csv, pdf," accdb)""|""1""|""11112222.0""|""I know the name"," but not the vendor number.. ""|""Data Controller""|""UNITED STATES""|"">= 1",000 - < 20,"000""|""1""|""1""|""1""|""1""|""0""|""0""|""0""|""1""|""0""|""1""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""9D35B2B15BF3AA4E;#12958;#3E3A497B4CF90313;#12265""|""""|""Not started""|""""|""""|""In line with SCOPE""|""""|""""|""Aligned deviation from SCOPE""|""enter since Deviation""|""I shoudl have linked an evidence here and add hyperlink"," but I did not want to post dummy things in the evidence folder!""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-06-06 06:14:58"""
"2|""test by Alessio - ABC123 test for auto-update Oct3 4:21""|""Z - Test and Training""|""Radenkovic"," Rastko""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""R&D""|""ALBANY PLANT;#52;#ALBANY RETAIL;#53""|""vendor.im@vendor.com""|""Temp/Contractors""|""Consumer and Shopper Research""|""C006""|""Design/Build""|""""|""The user will record personal information for researching consumer behavior""|""Paper""|""""|""1""|""1223456.0""|""TestVendor""|""Data Controller""|""UNITED STATES""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""A6F7111B4D0A12E6;#13015""|""""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.  If required"," copy/paste URL from evidence folder""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Test update #2""|""""|""""|""""|""""|""""|""""|""""|""""|""TDR""|""2019-06-05 00:00:00""|""Radakovich"," Troy""|""""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-06-06 09:42:39""",,,,,,,,,,,,,,,,,,,,,,,,,,
"3|""Time and Attendance System Greensboro""|""Z - Test and Training""|""Falkingham"," Alan""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""ER""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Employee Data Management""|""""|""Leverage/Optimize""|""""|""This is a system that we used 700 times as an example"," so I wanted to build an example on it""|""Digital""|""Application""|""0""|""""|""""|""Data Controller""|""UNITED STATES""|""< 1","000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""9D35B2B15BF3AA4E;#12958""|""""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.  If required"," copy/paste URL from evidence folder""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""2019-06-19 00:00:00""|""""|""""|""""|""0""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-06-19 09:55:42""",,,,,,,,,,,,,,,,,,,,,,,,,
"4|""BCH - test ROPA Updated.  Test update for Emmanuel's new scorecard""|""Z - Test and Training""|""Wilson"," Kevin""|""2019-10-03 16:09:05""|""Hayden"," Barbara""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Consumer""|""Medical""|""""|""Leverage/Optimize""|""""|""""|""Digital""|""Application""|""0""|""""|""""|""Data Controller""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""""|""""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.  If required"," copy/paste URL from evidence folder""|""In line with SCOPE""|""Do not enter.  Maintained centrally.""|""Do not enter.  Maintained centrally.""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.&nbsp; If required"," copy/paste URL from evidence folder""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.&nbsp; If required"," copy/paste URL from evidence folder""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.&nbsp; If required"," copy/paste URL from evidence folder""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.&nbsp; If required"," copy/paste URL from evidence folder""|""Not started""|""do not enter unless [Aligned] Deviation from SCOPE""|""do not enter unless [Aligned] Deviation from SCOPE.&nbsp; If required"," copy/paste URL from evidence folder""|""Not started""|""Do not enter.  Maintained centrally.""|""Do not enter.  Maintained centrally.""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""2019-06-23 00:00:00""|""""|""""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-06-25 12:13:21""",,,,,,,,,,,,,,,,,,,,,,
"6|""Accenture EDM Service Now Dispatch""|""GBS MY P&G SERVICES""|""Olsson"," Mattias""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Employee Data Management""|""E003""|""Leverage/Optimize""|""""|""Global SNOW tool in the Accenture environment used to dispatch EDM MOI forms to team members in order to process the data change into SAP.""|""Digital""|""Application""|""1""|""985015354.0""|""ACCENTURE PUBLIC LIMITED COMPANY""|""Data Controller""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""78CB7FEC5BEA5120;#12678""|""""|""In line with SCOPE""|""OLD Irisk""|""OLD Irisk""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-GDPR--2""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 05:09:50""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7|""AdviseHR Cloud - Zendesk""|""GBS MY P&G SERVICES""|""Bimonte"," Bob""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""IT""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Workforce Collaboration and Productivity""|""E029""|""Decommissioned""|""2019-07-01 00:00:00""|""IBM's Contact Center Tool (and their branded name) used for Call Tracking and Case Management.  Software product is from Zendesk.""|""Digital""|""Application""|""1""|""15073970.0""|""IBM / HR Contact Center""|""To be clarified""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""60F0651356002D4E;#12525""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""GDPR Info Sec review by TISL""|""GDPR Info Sec review by TISL""|""Not started""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-GDPR--3""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 05:11:08""",,,,,,,,,,,,,,,,,,,,,,,,,
"8|""Amex@Work""|""GBS MY P&G SERVICES""|""Ramos"," Sienna""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Travel Services""|""E012""|""Leverage/Optimize""|""""|""This is an external hosted application/website that stores all Amex relevant information for Amex card holder in P&G.   It is a restricted Amex Data base that requires special authorizatoin.""|""Digital""|""Application""|""1""|""6979900.0""|""AMERICAN EXPRESS COMPANY""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""56FC656B4DA40954;#12459""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""Work in Progress""|""1913967""|""1913967""|""Work in Progress""|""1913967""|""1913967""|""Work in Progress""|""1913967""|""1913967""|""In line with SCOPE""|""GDPR Info Sec review by TISL""|""GDPR Info Sec review by TISL""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-GDPR--4""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 05:11:09""",,,,,,,,,,,,,,,,,,,,,,,,,
"9|""Aon Assessments""|""GBS MY P&G SERVICES""|""Lopez"," Mariajose""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Job Applicant""|""Recruiting/Talent Supply""|""E010""|""Leverage/Optimize""|""""|""Online platform where job applicants take the 1) Peak Performance assessment and 2) Interactive Assessments before an initial interview can be scheduled.""|""Digital""|""Application""|""1""|""67999979.0""|""AON HEWITT LLC""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""00BC039157FD7AC7;#11877""|""""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""GDPR team checked as noted in MEGA Data privacy tab""|""OLD Irisk""|""In line with SCOPE""|""GDPR team checked as noted in MEGA Data privacy tab""|""OLD Irisk""|""In line with SCOPE""|""GDPR team checked as noted in MEGA Data privacy tab""|""OLD Irisk""|""In line with SCOPE""|""GDPR Info Sec review by TISL""|""GDPR Info Sec review by TISL""|""Not started""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-GDPR--5""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 05:13:10""",,,,,,,,,,,,,,,,,,,,,,,,,
"10|""APRO (AssignmentPro) Expatriate Compensation""|""GBS MY P&G SERVICES""|""Escudero"," Joyce""|""2019-10-17 05:02:04""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Relocation Services""|""E016""|""Leverage/Optimize""|""""|""AssignmentPro is a web-based assignment management system", covering the complete assignment lifecycle, from pre-authorization to taxes," compensation and repatriation.  This is externally-owned by EQUUS Vendor.""|""Digital""|""Application""|""1""|""95463217.0""|""EQUUS SOFTWARE"," LLC""|""Data Processor""|""UNITED STATES""|"">= 20",000 < 1,0,"000""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""1""|""0""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""1""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""60F0651156002D19;#12524""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""GDPR team checked as noted in MEGA Data privacy tab""|""GDPR team checked as noted in MEGA Data privacy tab""|""In line with SCOPE""|""GDPR team checked as noted in MEGA Data privacy tab""|""GDPR team checked as noted in MEGA Data privacy tab""|""In line with SCOPE""|""GDPR team checked as noted in MEGA Data privacy tab""|""GDPR team checked as noted in MEGA Data privacy tab""|""In line with SCOPE""|""GDPR Info Sec review by TISL""|""GDPR Info Sec review by TISL""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-GDPR--6""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 05:13:12""",,,,,,,,,,,,,,,,,,,,,
"11|""Atlas For Domestic Relocation""|""GBS MY P&G SERVICES""|""Henao"," Gonzalo""|""2019-10-17 05:02:05""|""Radenkovic"," Rastko""|""*Intentionally left blank""|""*INTENTIONALLY LEFT BLANK;#269""|""""|""Employee""|""Relocation Services""|""E016""|""Decommissioned""|""""|""Domestic relocation services or US", UK,"and Canada. Due to sunset 2019 November 1""|""Digital""|""Application""|""1""|""15004801.0""|""Cartus""|""Data Processor""|""UNITED STATES""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""0""|""CB3BCC2F4F3B5212;#13270""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""Not started""|""""|""""|""In line with SCOPE""|""GDPR Info Sec review by TISL""|""GDPR Info Sec review by TISL""|""Work in Progress""|""""|""""|""Not started""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""""|""TammyCurran 2019-06-28 MyPGS-GDPR--7""|""""|""1""|""Item""|""sites/CCPATeam/Lists/LIST  Processing Activity""|""2019-07-03 05:13:13""",,,,,,,,,,,,,,,,,,,,,,,,,,
