"APP_ID"|"APP_HEX"|"APP_NAME"|"APP_NATURE"|"APP_LIFECYCLE"|"BP_ID"|"BP_HEX"|"BP_NAME"|"BP_LEVEL"|"BP_LIFECYCLE"
"8014813003488844770"|"5BE25E2255F66F3A"|"(BOS) Behavior Observation System"|"Generic"|"Exception"|"1471636739683970235"|"ECBB53464DD1146C"|"Product & Package Design and Development"|"L3"|"Leverage/Optimize"
"6095441458786415160"|"323834275BB65497"|"(DVT) Damovo Voice Tool"|"Generic"|"Leverage/Optimize"|"4073592909030423487"|"FBBFFE4E4F2A3888"|"Workforce Collaboration and Productivity"|"L3"|"Undecided"
"5351215708909916990"|"D33ED61056554A43"|"(InvIns) Inventory Insights"|"Generic"|"Leverage/Optimize"|"139131946441088278"|"9D16A4874BC401EE"|"Category Supply Planning"|"L3"|"Leverage/Optimize"
"5351215708909916990"|"D33ED61056554A43"|"(InvIns) Inventory Insights"|"Generic"|"Leverage/Optimize"|"592871348216173016"|"91D89BEE4D59083A"|"IT Operations"|"L3"|"Undecided"
"398657814229645369"|"78397C17512B0588"|"1, CP Reporting - Semantic Layer"|"Generic"|"Leverage/Optimize"|"2377145352092802559"|"5DFF62F6511A20FD"|"Communication Development and Execution"|"L3"|"Leverage/Optimize"
"5374015226006082391"|"135713A256604A94"|"1, CP Reporting - Targeting Counts"|"Generic"|"Leverage/Optimize"|"2236407863722728959"|"5DFF6215511A1F09"|"Market Insights and Trends"|"L3"|"Leverage/Optimize"
"6482463128373142251"|"A2EBA43F55DE59F6"|"1C: Enterprise"|"Generic"|"Exception"|"134628346804477206"|"9D16A3FA4BC401DE"|"Operational Planning"|"L2"|"Leverage/Optimize"
"668584394542985518"|"B12EEB1A49F60947"|"1WorldSync"|"XOApplication"|"Leverage/Optimize"|"122527866372029029"|"FA65FE304E7101B3"|"Product MDM"|"L2"|"Leverage/Optimize"
"7224150949371470956"|"646C651657036441"|"2 Click Change-over Tool"|"Generic"|"Exception"|"1139778105256426205"|"BADDDE934E250FD1"|"Centerline Management"|""|""
"7224150949371470956"|"646C651657036441"|"2 Click Change-over Tool"|"Generic"|"Exception"|"789060283938945757"|"BADDCA8C4E250AF3"|"Production Execution"|""|""
"3248316739217141237"|"2DF52EFE56DD2D14"|"20/20 Hindsight"|"Generic"|"Retired"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"3697271485697930759"|"B607C73458D3334F"|"2D Barcode Scanner"|"Generic"|"Exception"|"2336971536766378"|"95AA964C4D760008"|"Quality Management"|"L3"|"Leverage/Optimize"
"6850351183521337116"|"4F1C5077561B5F11"|"2D Editor for DWG"|"Generic"|"Exception"|"973707868984425181"|"BADDDDD14E250D83"|"Maintenance Management Information System (Master Data/MMIS)"|""|""
"5767517225444170523"|"DB1BE28B565B500A"|"2d system hmi"|"Generic"|"Exception"|"7697302703227978626"|"C382CA8E50066AD2"|"Execute Production"|""|""
"3287160286003867125"|"2DF52F0856DD2D9E"|"3 D Camera"|"Generic"|"Leverage/Optimize"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"1502327701748233268"|"B434C6EE571514D9"|"30 Tage_PAprodplan"|"Generic"|"Exception"|"9765864375158384886"|"28F64DF551E88787"|"Master Production Schedule"|""|""
"10772987234540379786"|"DE8AE49856CF9581"|"3D Messplatz"|"Generic"|"Retired"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"7107620184959899295"|"569F82EE56E662A3"|"3D Printer Software"|"Generic"|"Leverage/Optimize"|"7931207406835029926"|"57A67C594F1D6E11"|"Strategic Innovation Platform Development"|"L3"|"Leverage/Optimize"
"515478354094389365"|"F875F93258D40727"|"3D Scanner"|"Generic"|"Exception"|"2336971536766378"|"95AA964C4D760008"|"Quality Management"|"L3"|"Leverage/Optimize"
"7163915180302620319"|"569F82F756E6636B"|"3PA Application Servers"|"Generic"|"Leverage/Optimize"|"5433964245269008235"|"CF6BD16E51B04B69"|"Engineering Design (EWP)"|"L3"|"Leverage/Optimize"
"598497364151855024"|"67B085474A2E084E"|"3PL Connect"|"Component"|"Leverage/Optimize"|"2338859122936703392"|"E9A002524BFB2075"|"Warehousing (Inbound & Outbound)"|"L3"|"Leverage/Optimize"
"2916739353176307671"|"F7D7F87956FC287A"|"3Ware"|"Generic"|"Exception"|"7697302703227978626"|"C382CA8E50066AD2"|"Execute Production"|""|""
"4633736619507491599"|"A30FA47656E7404E"|"3dMD Vultus"|"Generic"|"Leverage/Optimize"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"7210632045436999613"|"17BD4A524FA46411"|"40-Day Expiry Email Program"|"Generic"|"Leverage/Optimize"|"4073592909030423487"|"FBBFFE4E4F2A3888"|"Workforce Collaboration and Productivity"|"L3"|"Undecided"
"686601416031232864"|"6360A0D24C590987"|"4PL Load Plan"|""|""|"927747756858063"|"1ACF1B7D4BC80003"|"S1.1.4 Schedule Lines / Orders via SNC - P&G Managed Inventory"|""|""
"5462398645870173213"|"9C1D9CAA56A04BCE"|"505 WORKSHOP"|"Generic"|"Exception"|"7697302703227978626"|"C382CA8E50066AD2"|"Execute Production"|""|""
"6766190482698414789"|"2AC52BDE56655DE6"|"7Zip"|"Generic"|"Leverage/Optimize"|"4073592909030423487"|"FBBFFE4E4F2A3888"|"Workforce Collaboration and Productivity"|"L3"|"Undecided"
"4899169232589539250"|"C7B2CB05587543FD"|"A&I Portal"|"Generic"|"Leverage/Optimize"|"570353350068310488"|"91D89B464D5907EA"|"Application Management"|"L3"|"Undecided"
"4899169232589539250"|"C7B2CB05587543FD"|"A&I Portal"|"Generic"|"Leverage/Optimize"|"543331752278594008"|"91D899C14D59078A"|"Enterprise Architecture"|"L3"|"Leverage/Optimize"
"4899169232589539250"|"C7B2CB05587543FD"|"A&I Portal"|"Generic"|"Leverage/Optimize"|"33580648616166959"|"062F08184D6C0077"|"IT Governance"|"L3"|"Undecided"
"7122258147869119980"|"D5ECD65E580C62D7"|"A&I Visualization Website"|"Generic"|"Launch/Deploy"|"2236407863722728959"|"5DFF6215511A1F09"|"Market Insights and Trends"|"L3"|"Leverage/Optimize"
"5583998162620669192"|"5D085D7058BE4D7E"|"A3M PSG Quality System"|"Generic"|"Exception"|"327436220752855808"|"030008924982048B"|"D1.10.1 Packing"|""|""
"5737120550022503688"|"5D0861AF58BE4F9E"|"A3M PSG Quality System Novomoskovsk Production instance"|"Instance"|"Exception"|"327436220752855808"|"030008924982048B"|"D1.10.1 Packing"|""|""
"17264363142764480281"|"C719CDD256CEEF97"|"AB Sciex Analyst"|"Generic"|"Leverage/Optimize"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"3350210720484185759"|"569F6D2A56E62E7E"|"ABB Industrial IT AC 800M"|"Generic"|"Leverage/Optimize"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"10211444158250474267"|"DB1B0041565C8DB6"|"ABB Optimax Energy Scada System Build 20061213"|"Generic"|"Exception"|"789060283938945757"|"BADDCA8C4E250AF3"|"Production Execution"|""|""
"7898000978852215681"|"7B817C2C560B6D9B"|"ABB Robotics"|"Generic"|"Exception"|"789060283938945757"|"BADDCA8C4E250AF3"|"Production Execution"|""|""
"3851236298023706912"|"212021CB57023572"|"ABCIP DAS"|"Generic"|"Exception"|"7697302703227978626"|"C382CA8E50066AD2"|"Execute Production"|""|""
"4315668717920215001"|"5FD963E655D53BE4"|"ABCPdf"|"Generic"|"Exception"|"789060283938945757"|"BADDCA8C4E250AF3"|"Production Execution"|""|""
"7248915755490156879"|"214F24B952796499"|"ABF"|"Generic"|"Leverage/Optimize"|"9085538783506065306"|"E79AE7E951627E16"|"Consumer and Environmental Safety,  Regulatory Assessment and Registration"|"L3"|"Leverage/Optimize"
"4265003365423890822"|"C186C1EF55F63B30"|"ABR"|"XOApplication"|"Leverage/Optimize"|"1052238311615452825"|"56995EE54D2B0E9A"|"Travel Services"|"L3"|"Leverage/Optimize"
"17725700736508404495"|"A30FB27656E7F5FE"|"ABSORPTION DAQ V 3-5"|"Generic"|"Leverage/Optimize"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"6268827186124648742"|"7126B345591C56FF"|"ABT"|"Component"|"Leverage/Optimize"|"3403405907341148108"|"FFCC058853A42F3B"|"General Ledger Accounting"|"L3"|"Leverage/Optimize"
"4217998408464883486"|"5F1E5FB657343A89"|"ABUS camera system Software"|"Generic"|"Exception"|"1601396703960362171"|"ECBB54094DD11639"|"Breakdown Elimination"|""|""
"16847217232283819658"|"DE8AF81D56CFE9CD"|"ACD/Spectrus Platform"|"Generic"|"Leverage/Optimize"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"478035233415238153"|"120915D6528306A2"|"ACL AX (AuditExchange)"|"Generic"|"Leverage/Optimize"|"1350332212652157961"|"2C0937E657FE12BD"|"Direct Tax Compliance"|"L3"|"Leverage/Optimize"
"478035233415238153"|"120915D6528306A2"|"ACL AX (AuditExchange)"|"Generic"|"Leverage/Optimize"|"11471046600832595602"|"36927494581B9F31"|"Indirect Tax Compliance"|"L3"|"Leverage/Optimize"
"10840541228951330442"|"DE8AE49E56CF9671"|"ACM"|"Generic"|"Leverage/Optimize"|"4607558751580635789"|"C28DCDB456453FF1"|"Conduct Physical Learning Program"|"L2"|"Leverage/Optimize"
"15283805096716934"|"2A862D9B4C8A0036"|"ACT (Artwork Copy Tool)"|"Generic"|"Sunset"|"6837116766752549130"|"290A8A2751795EE2"|"Artwork Execution"|"L3"|"Leverage/Optimize"
"15283805096716934"|"2A862D9B4C8A0036"|"ACT (Artwork Copy Tool)"|"Generic"|"Sunset"|"564160429671642406"|"F526F6E84CEB07D4"|"Product & Package Design and Development"|"L3"|"Leverage/Optimize"
"8132469550299012479"|"DD7FE44055F770DC"|"ACTION PLAN"|"Generic"|"Exception"|"7960481283378183814"|"FE8600E64F8D6E79"|"Corrective and Preventative Actions (CaPA)"|""|""
"8132469550299012479"|"DD7FE44055F770DC"|"ACTION PLAN"|"Generic"|"Exception"|"1180591613733825723"|"ECBB51684DD11062"|"Laboratory Control"|""|""
"8132469550299012479"|"DD7FE44055F770DC"|"ACTION PLAN"|"Generic"|"Exception"|"134628346804477206"|"9D16A3FA4BC401DE"|"Operational Planning"|"L2"|"Leverage/Optimize"
"8132469550299012479"|"DD7FE44055F770DC"|"ACTION PLAN"|"Generic"|"Exception"|"1471636739683970235"|"ECBB53464DD1146C"|"Product & Package Design and Development"|"L3"|"Leverage/Optimize"
"3507555368236419406"|"094E09BF570630AD"|"ACTIV reporting server"|"Generic"|"Exception"|"789060283938945757"|"BADDCA8C4E250AF3"|"Production Execution"|""|""
"590619592403177839"|"D16FDA934D630832"|"AD Account Migration Tool"|"Generic"|"Leverage/Optimize"|"4073592909030423487"|"FBBFFE4E4F2A3888"|"Workforce Collaboration and Productivity"|"L3"|"Undecided"
"8916941068635041416"|"6E886F1556A87BBF"|"ADAM-5000TCP-6000 Utility"|"Generic"|"Exception"|"973707868984425181"|"BADDDDD14E250D83"|"Maintenance Management Information System (Master Data/MMIS)"|""|""
"1256322973054217342"|"2C7E740F5B16116F"|"ADManager"|"Generic"|"Leverage/Optimize"|"157148604322915317"|"A3F5B19D4DD2022E"|"Service Management"|"L3"|"Undecided"
"63413427148425094"|"07860F2C4A2D00E1"|"ADW (Atomic Data Warehouse)"|"Platform"|"Leverage/Optimize"|"2083561318912289184"|"E9A0F9824BFA1CEA"|"Commercial or Market Initiative Handover"|"L3"|"Leverage/Optimize"
"6715528513568974186"|"256A4A49599A5D32"|"ADW Application List Portal"|"Generic"|"Leverage/Optimize"|"570353350068310488"|"91D89B464D5907EA"|"Application Management"|"L3"|"Undecided"
"81709592106232448"|"EA80EC3B4A700122"|"ADW Demand Planning Reporting"|"Component"|"Leverage/Optimize"|"541641163270757654"|"9D16AC7B4BC40784"|"Demand Planning"|"L3"|"Leverage/Optimize"
