building_name,count
CHS,11813
MP300,1384
LAX - Century Office,1741
MOC - 2211 Michigan Avenue,870
Rehab 1000 Veteran Ave,819
MDCC,360
Helio,94
2020 Santa Monica Blvd,520
WLA - 11318 National Blvd,79
SM - 1717 Stanford Street,1
15th Street Plaza Office ,10
Center for East-West Medicine,7
Marian Davis Children's Health Center,8
1328 Santa Monica,2
SMH,10537
BofA,3031
10911 Weyburn Ave,212
Reed NRC,1506
Jules Stein,833
NPH - Resnick Neuropsychiatric Hospital,1050
11318 National Blvd,45
California NanoSystems Institute (CNSI),72
1072 Gayley Ave,212
5767 W. Century Blvd,386
Orthopedic Hospital,37
NRB,84
Ackerman Union,4
10940 Wilshire Blvd,6
Children's Hospital of L.A. (CHLA),4
Stanford,5
Pacific Palisades Office,1
3333 Wilshire Blvd,9
1060 Veteran,3
Olive View Ucla,3
1344 16th Street Trailer,2
1001 Gayley Ave,295
Century City Clinic,97
Les Kelley Clinic,202
West Medical Building,231
SM - 1304 15th Street,56
1045 Gayley Ave,153
1801 Wilshire Blvd,59
SM - 1801 Wilshire Blvd,24
Westwood Center,32
Brentwood - 11980 San Vicente,98
Boyer Hall,14
LRC,38
Doheny - Fairmount,8
Mattel Children's Hospital,5
Wilshire Office,3
Bob Hope Health Center,1
Not Found,662
Wilshire Center,4192
Train Station,1389
SMH - 1131 Wilshire Blvd,111
SMH - 1260 15th Sttreet,300
Pasadena - 55 E. California Blvd,48
10990 Wilshire Blvd,41
Torrance 3445 PCH,26
Semel Institute/NPI,44
1223 16th Street,283
Brentwood - 11999 San Vicente,25
Arthur Ashe Center,19
2122 Granville Ave.,132
Saint John's West - 20th St. Offices (SMBP),11
Culver City,19
Hoefflin Bldg - 1530 Arizona Ave,11
Doheny - Fair Oaks,14
MedWest,3
SM 16th 1245,12
1033 Gayley Ave,2
SM Stuart House,1
11726 San Vicente Blvd,1
1245 16th Street,493
MP100,1939
Ueberroth,703
1145 Gayley Ave,241
Terasaki Life Sciences Building (TLSB),20
Tiverton House,101
SM - 2825 Santa Monica Blvd,70
1920 Colorado Ave,77
10920 Wilshire Blvd,370
SMH - SWW,134
Physician Support Services,5
1015 Gayley Ave,37
9911 Pico Blvd.,3
2001 Santa Monica Blvd,49
SM- 11075 Santa Monica Blvd,5
Warren Hall,61
Life Sciences,40
SMH - 1324 16th Street,25
2501 N. Sepulveda,53
1001 Westwood Blvd,32
SM - 1328 16th Street,53
Beach Imaging & Interventional Center,16
Doheny - Arcadia,6
Webster Organization,5
SM- 1530 Arizona Street,10
Doheny - Orange County,2
Northridge - 8767 Baird Ave,8
Brain Mapping Center,3
10630 Santa Monica Blvd,2
Oppenheimer,44655
UNSPECIFIED,77394
1000 Veteran,397
RRUMC,29469
OHRC - 615 Charles E Young Drive South,47
MP200,9627
Gonda,226
Brentwood - 11600 Wilshire Blvd,140
Brentwood - 11633 San Vicente,228
Manhattan Beach Clinic,38
Women's Imaging Center,2
Biomedical Sciences Research Building (BSRB),240
Parkside SMH - 2336 Santa Monica Blvd,183
Manhattan Beach ,99
Westlake Village,259
Venice Family Clinic,97
435 Roxbury Drive,9
VA - Veterans Administration,16
All Locations,3
CVS,666
1260 15th Street,476
SMH Ortho Hospital 1250 16TH ST,938
Wasserman Building,265
Factor,287
MOB -1223 16th st,100
SMH - 1245 16th Street,362
MRL,161
Weyburn Building,20
SM 15th 1260,311
Doris Stein,512
11303 Washington Blvd,160
Malibu Clinic,38
Broxton Plaza,66
10916 Le Conte Ave,127
Santa Clarita Clinic,62
1919 Santa Monica Blvd,180
1821 Wilshire Blvd,68
UCLA CVS - 1001 Westwood Blvd,58
1328 16th Street ,58
1336 16 street Stuart House,8
1250 16th Street Ortho Hospital,422
8450 Sepulveda Blvd,5
Stuart House,15
18300 Roscoe Blvd,23
Portola Plaza,2
Ocean Park Office,2

