building_name,count
Ueberroth,708
MP100,1944
2001 Santa Monica Blvd,43
SM - 1328 16th Street,53
1245 16th Street,506
1145 Gayley Ave,234
10920 Wilshire Blvd,358
SMH - SWW,136
Tiverton House,101
SM - 2825 Santa Monica Blvd,71
Warren Hall,58
1015 Gayley Ave,39
Life Sciences,40
1920 Colorado Ave,77
1001 Westwood Blvd,33
2501 N. Sepulveda,53
SMH - 1324 16th Street,25
Beach Imaging & Interventional Center,16
Brain Mapping Center,3
SM- 11075 Santa Monica Blvd,4
SM- 1530 Arizona Street,10
Terasaki Life Sciences Building (TLSB),19
Physician Support Services,5
Webster Organization,5
Northridge - 8767 Baird Ave,8
Doheny - Orange County,2
Doheny - Arcadia,6
10630 Santa Monica Blvd,2
9911 Pico Blvd.,3
1260 15th Street,466
SMH - 1245 16th Street,365
Factor,287
SMH Ortho Hospital 1250 16TH ST,925
Wasserman Building,241
CVS,618
MOB -1223 16th st,101
MRL,160
Weyburn Building,20
1045 Gayley Ave,149
Century City Clinic,94
1001 Gayley Ave,314
SM - 1304 15th Street,54
West Medical Building,220
1801 Wilshire Blvd,59
Les Kelley Clinic,201
LRC,38
Brentwood - 11980 San Vicente,96
Doheny - Fairmount,7
Westwood Center,32
SM - 1801 Wilshire Blvd,20
Boyer Hall,14
Mattel Children's Hospital,4
Wilshire Office,3
Bob Hope Health Center,1
BofA,3023
SMH,10483
1072 Gayley Ave,177
Jules Stein,829
NPH - Resnick Neuropsychiatric Hospital,1063
5767 W. Century Blvd,366
Reed NRC,1482
NRB,81
10911 Weyburn Ave,203
11318 National Blvd,45
California NanoSystems Institute (CNSI),71
Orthopedic Hospital,40
10940 Wilshire Blvd,5
3333 Wilshire Blvd,9
1060 Veteran,3
UNKNOWN,1
Olive View Ucla,3
1344 16th Street Trailer,2
Children's Hospital of L.A. (CHLA),4
Ackerman Union,4
Stanford,5
Pacific Palisades Office,1
CHS,11608
LAX - Century Office,1735
MDCC,348
2020 Santa Monica Blvd,512
MOC - 2211 Michigan Avenue,859
MP300,1360
Rehab 1000 Veteran Ave,808
Helio,93
WLA - 11318 National Blvd,74
1328 Santa Monica,3
15th Street Plaza Office ,10
Center for East-West Medicine,7
Marian Davis Children's Health Center,8
SM - 1717 Stanford Street,1
Not Found,654
Wilshire Center,4067
Train Station,1301
Saint John's West - 20th St. Offices (SMBP),11
1223 16th Street,281
SMH - 1260 15th Sttreet,299
SMH - 1131 Wilshire Blvd,108
2122 Granville Ave.,124
Pasadena - 55 E. California Blvd,46
Semel Institute/NPI,32
Torrance 3445 PCH,26
10990 Wilshire Blvd,38
Culver City,19
SM 16th 1245,10
Brentwood - 11999 San Vicente,26
Arthur Ashe Center,19
Hoefflin Bldg - 1530 Arizona Ave,11
Doheny - Fair Oaks,11
MedWest,3
SM Stuart House,1
1033 Gayley Ave,2
11726 San Vicente Blvd,1
Oppenheimer,43988
UNSPECIFIED,76990
RRUMC,29037
MP200,9526
Westlake Village,254
Biomedical Sciences Research Building (BSRB),229
1000 Veteran,388
Venice Family Clinic,95
Brentwood - 11633 San Vicente,226
Gonda,224
Manhattan Beach ,100
Parkside SMH - 2336 Santa Monica Blvd,171
Brentwood - 11600 Wilshire Blvd,141
OHRC - 615 Charles E Young Drive South,43
Manhattan Beach Clinic,38
435 Roxbury Drive,9
VA - Veterans Administration,16
All Locations,5
Women's Imaging Center,2
Malibu Clinic,40
Doris Stein,489
1250 16th Street Ortho Hospital,418
Broxton Plaza,60
1328 16th Street ,58
SM 15th 1260,306
Stuart House,16
1919 Santa Monica Blvd,179
11303 Washington Blvd,161
18300 Roscoe Blvd,23
10916 Le Conte Ave,124
UCLA CVS - 1001 Westwood Blvd,58
Santa Clarita Clinic,64
1821 Wilshire Blvd,69
8450 Sepulveda Blvd,4
1336 16 street Stuart House,8
Ocean Park Office,2
Portola Plaza,2

