incident_number,count
TIX00410620,1
TIX00608671,1
TIX00610436,1
TIX00601622,1
TIX00615279,1
TIX00322961,14
TIX00387590,8
TIX00372716,4
TIX00402672,1
TIX00373140,1
TIX00324320,1
TIX00592545,17
TIX00391512,1
TIX00345459,1
TIX00553133,3
TIX00381006,3
TIX00392295,1
TIX00314141,1
TIX00391368,1
TIX00328215,4
TIX00440404,1
TIX00501111,1
TIX00512920,1
TIX00379015,1
TIX00375305,16
TIX00576096,1
TIX00320280,1
TIX00419248,1
TIX00404003,1
TIX00348140,5
TIX00347273,1
TIX00363634,1
TIX00326557,1
TIX00624412,1
TIX00387040,1
TIX00556491,2
TIX00579776,1
TIX00416294,1
TIX00536608,1
TIX00385474,1
TIX00383939,1
TIX00595798,1
TIX00369881,1
TIX00375060,1
TIX00533508,2
TIX00350171,1
TIX00515042,1
TIX00522256,1
TIX00590678,1
TIX00564913,1
TIX00388377,1
TIX00599855,1
TIX00534247,1
TIX00406102,1
TIX00452966,1
TIX00543292,1
TIX00554757,1
TIX00414293,1
TIX00365925,1
TIX00375198,1
TIX00596220,1
TIX00350517,1
TIX00527542,1
TIX00365767,1
TIX00505316,4
TIX00539314,1
TIX00602197,1
TIX00375238,2
TIX00563607,1
TIX00342405,1
TIX00449035,1
TIX00534782,1
TIX00503920,1
TIX00539960,1
TIX00587426,3
TIX00586552,1
TIX00376484,1
TIX00611071,1
TIX00389779,1
TIX00393691,1
TIX00407390,1
TIX00350508,2
TIX00449414,1
TIX00595826,1
TIX00595315,1
TIX00330732,1
TIX00378247,1
TIX00382177,1
TIX00331173,1
TIX00513067,5
TIX00596243,1
TIX00587308,1
TIX00515083,1
TIX00622187,1
TIX00591401,2
TIX00620912,1
TIX00449230,1
TIX00585248,1
TIX00410333,1
TIX00420402,2
TIX00328181,1
TIX00555336,4
TIX00364961,2
TIX00364459,1
TIX00596825,1
TIX00552554,1
TIX00508402,1
TIX00613230,1
TIX00387350,1
TIX00333643,2
TIX00530750,1
TIX00537730,1
TIX00595563,1
TIX00441458,4
TIX00537258,1
TIX00564952,1
TIX00568520,1
TIX00363790,1
TIX00610100,1
TIX00331562,143
TIX00322269,2
TIX00560754,1
TIX00454955,1
TIX00375426,1
TIX00565404,2
TIX00568402,1
TIX00356956,2
TIX00418761,1
TIX00327353,1
TIX00503816,3
TIX00589846,1
TIX00399267,2
TIX00382904,1
TIX00586966,1
TIX00607955,1
TIX00411862,1
TIX00612052,1
TIX00448087,1
TIX00439735,1
TIX00394276,1
TIX00545267,1
TIX00594648,1
TIX00565842,1
TIX00544501,4
TIX00585439,1
TIX00571049,1
TIX00508308,1
TIX00584524,1
TIX00577994,1
TIX00323181,1
TIX00437303,1
TIX00339568,1
TIX00397815,1
TIX00353699,1
TIX00440181,1
TIX00404497,1
TIX00355836,1
TIX00550377,1
TIX00377377,1
TIX00331403,1
TIX00611183,1
TIX00562944,1
TIX00377315,1
TIX00543910,1
TIX00619472,1
TIX00388881,1
TIX00562924,1
TIX00505089,1
TIX00524624,1
TIX00540735,1
TIX00576545,1
TIX00540226,1
TIX00540321,1
TIX00326822,1
TIX00586021,3
TIX00399683,1
TIX00455469,1
TIX00356951,3
TIX00371411,1
TIX00511325,2
TIX00381222,1
TIX00353981,2
TIX00335238,1
TIX00342444,1
TIX00326453,1
TIX00323143,2
TIX00349232,1
TIX00336070,1
TIX00585818,1
TIX00326416,1
TIX00616154,1
TIX00521490,1
TIX00605313,1
TIX00521654,1
TIX00521832,1
TIX00343657,1
TIX00569832,4
TIX00390275,1
TIX00616741,1
TIX00570291,1
TIX00505192,1
TIX00601830,1
TIX00337615,1
TIX00356197,1
TIX00370119,1
TIX00577152,1
TIX00541039,1
TIX00533977,1
TIX00564232,1
TIX00555870,1
TIX00358259,1
TIX00319609,1
TIX00511509,1
TIX00397929,1
TIX00371717,1
TIX00551061,1
