room_c,count,,Room,Opened Incidents,,
1,46,,1,46,FALSE,TRUE
2,73,,2,73,FALSE,TRUE
3,8,,3,8,FALSE,TRUE
4,3,,004,3,FALSE,TRUE
4,4,,4,4,FALSE,TRUE
5,12,,5,12,FALSE,TRUE
6,14,,6,14,FALSE,TRUE
7,27,,7,27,FALSE,TRUE
8,5,,8,5,FALSE,TRUE
8,14,,08,14,FALSE,TRUE
10,7,,10,7,FALSE,TRUE
11,101,,11,101,FALSE,TRUE
12,11,,12,11,FALSE,TRUE
13,3,,13,3,FALSE,TRUE
14,17,,14,17,FALSE,TRUE
15,64,,15,64,FALSE,TRUE
16,6,,16,6,FALSE,TRUE
17,18,,17,18,FALSE,TRUE
18,11,,18,11,FALSE,TRUE
19,10,,19,10,FALSE,TRUE
20,9,,20,9,FALSE,TRUE
21,2,,21,2,FALSE,TRUE
22,12,,22,12,FALSE,TRUE
23,43,,23,43,FALSE,TRUE
24,2,,24,2,FALSE,TRUE
26,6,,26,6,FALSE,TRUE
28,1,,28,1,FALSE,TRUE
32,14,,32,14,FALSE,TRUE
33,13,,33,13,FALSE,TRUE
36,1,,36,1,FALSE,TRUE
37,1,,37,1,FALSE,TRUE
38,1,,38 ,1,FALSE,TRUE
39,1,,39,1,FALSE,TRUE
52.257,1,,52.257,1,FALSE,TRUE
70,1,,70,1,FALSE,TRUE
71,2,,071,2,FALSE,TRUE
86,1,,86,1,FALSE,TRUE
87,1,,87,1,FALSE,TRUE
100,1,, 100,1,FALSE,TRUE
100,2245,,100,"2,245",FALSE,TRUE
101,31,,101,31,FALSE,TRUE
102,3739,,102,"3,739",FALSE,TRUE
103,500,,103,500,FALSE,TRUE
104,41,,104,41,FALSE,TRUE
105,139,,105,139,FALSE,TRUE
106,70,,106,70,FALSE,TRUE
107,5991,,107,"5,991",FALSE,TRUE
108,74,,108,74,FALSE,TRUE
110,20,,110,20,FALSE,TRUE
111,118,,111,118,FALSE,TRUE
112,4,,112,4,FALSE,TRUE
114,4,,114,4,FALSE,TRUE
115,348,,115,348,FALSE,TRUE
116,68,,116,68,FALSE,TRUE
117,1,,117,1,FALSE,TRUE
118,3,,118,3,FALSE,TRUE
119,9,,119,9,FALSE,TRUE
120,212,,120,212,FALSE,TRUE
122,208,,122,208,FALSE,TRUE
123,51,,123,51,FALSE,TRUE
124,1,,124,1,FALSE,TRUE
125,90,,125,90,FALSE,TRUE
128,49,,128,49,FALSE,TRUE
130,29,,130,29,FALSE,TRUE
131,82,,131,82,FALSE,TRUE
132,42,,132,42,FALSE,TRUE
134,13,,134,13,FALSE,TRUE
135,34,,135,34,FALSE,TRUE
137,2,,137,2,FALSE,TRUE
140,158,,140,158,FALSE,TRUE
143,5,,143,5,FALSE,TRUE
145,307,,145,307,FALSE,TRUE
147,14,,147,14,FALSE,TRUE
151,17,,151,17,FALSE,TRUE
153,14,,153,14,FALSE,TRUE
154,6,,154,6,FALSE,TRUE
156,1,,156,1,FALSE,TRUE
157,32,,157,32,FALSE,TRUE
160,2,,160,2,FALSE,TRUE
164,97,,164,97,FALSE,TRUE
165,28,,165,28,FALSE,TRUE
166,2,,166,2,FALSE,TRUE
169,133,,169,133,FALSE,TRUE
170,4,,170,4,FALSE,TRUE
175,1,,175,1,FALSE,TRUE
181,1,,181,1,FALSE,TRUE
187,2,,187,2,FALSE,TRUE
188,1,,188,1,FALSE,TRUE
200,3401,,200,"3,401",FALSE,TRUE
201,2463,,201,"2,463",FALSE,TRUE
202,217,,202,217,FALSE,TRUE
203,22,,203,22,FALSE,TRUE
204,50,,204,50,FALSE,TRUE
205,36,,205,36,FALSE,TRUE
206,32,,206,32,FALSE,TRUE
207,31,,207,31,FALSE,TRUE
208,20,,208,20,FALSE,TRUE
209,2,,209,2,FALSE,TRUE
210,249,,210,249,FALSE,TRUE
211,5,,211,5,FALSE,TRUE
212,12,,212,12,FALSE,TRUE
213,6,,213,6,FALSE,TRUE
214,144,,214,144,FALSE,TRUE
215,17,,215,17,FALSE,TRUE
216,9,,216,9,FALSE,TRUE
218,40,,218,40,FALSE,TRUE
220,150,,220,150,FALSE,TRUE
221,1,,221,1,FALSE,TRUE
223,1,,223,1,FALSE,TRUE
224,44,,224,44,FALSE,TRUE
225,247,,225,247,FALSE,TRUE
226,24,,226,24,FALSE,TRUE
227,12,,227,12,FALSE,TRUE
229,10,,229,10,FALSE,TRUE
230,3,,230,3,FALSE,TRUE
232,5,,232,5,FALSE,TRUE
235,21,,235,21,FALSE,TRUE
236,1,,236,1,FALSE,TRUE
237,5,,237,5,FALSE,TRUE
240,9,,240,9,FALSE,TRUE
245,4,,245,4,FALSE,TRUE
247,9,,247,9,FALSE,TRUE
250,170,,250,170,FALSE,TRUE
254,1,,254,1,FALSE,TRUE
257,6,,257,6,FALSE,TRUE
259,43,,259,43,FALSE,TRUE
260,3,,260,3,FALSE,TRUE
262,2,,262,2,FALSE,TRUE
264,2,,264,2,FALSE,TRUE
265,221,,265,221,FALSE,TRUE
267,30,,267,30,FALSE,TRUE
268,1,,268,1,FALSE,TRUE
269,19,,269,19,FALSE,TRUE
271,1,,271,1,FALSE,TRUE
279,2,,279,2,FALSE,TRUE
280,5,,280,5,FALSE,TRUE
282,1,,282,1,FALSE,TRUE
285,25,,285,25,FALSE,TRUE
290,64,,290,64,FALSE,TRUE
300,273,,300,273,FALSE,TRUE
301,283,,301,283,FALSE,TRUE
302,172,,302,172,FALSE,TRUE
303,25,,303,25,FALSE,TRUE
304,140,,304,140,FALSE,TRUE
305,1,,305,1,FALSE,TRUE
307,25,,307,25,FALSE,TRUE
308,3,,308,3,FALSE,TRUE
